column,section,item,instrument,scale,scale_name,keyed,text
a1,A,1,IPIP-50,E,Extraversion,+,Am the life of the party.
a2,A,2,IPIP-50,A,Agreeableness,-,Feel little concern for others.
a3,A,3,IPIP-50,C,Conscientiousness,+,Am always prepared.
a4,A,4,IPIP-50,S,Emotional stability,-,Get stressed out easily.
a5,A,5,IPIP-50,O,Openness,+,Have a rich vocabulary.
a6,A,6,IPIP-50,E,Extraversion,-,Don't talk a lot.
a7,A,7,IPIP-50,A,Agreeableness,+,Am interested in people.
a8,A,8,IPIP-50,C,Conscientiousness,-,Leave my belongings around.
a9,A,9,IPIP-50,S,Emotional stability,+,Am relaxed most of the time.
a10,A,10,IPIP-50,O,Openness,-,Have difficulty understanding abstract ideas.
a11,A,11,IPIP-50,E,Extraversion,+,Feel comfortable around people.
a12,A,12,IPIP-50,A,Agreeableness,-,Insult people.
a13,A,13,IPIP-50,C,Conscientiousness,+,Pay attention to details.
a14,A,14,IPIP-50,S,Emotional stability,-,Worry about things.
a15,A,15,IPIP-50,O,Openness,+,Have a vivid imagination.
a16,A,16,IPIP-50,E,Extraversion,-,Keep in the background.
a17,A,17,IPIP-50,A,Agreeableness,+,Sympathize with others' feelings.
a18,A,18,IPIP-50,C,Conscientiousness,-,Make a mess of things.
a19,A,19,IPIP-50,S,Emotional stability,+,Seldom feel blue.
a20,A,20,IPIP-50,O,Openness,-,Am not interested in abstract ideas.
a21,A,21,IPIP-50,E,Extraversion,+,Start conversations.
a22,A,22,IPIP-50,A,Agreeableness,-,Am not interested in other people's problems.
a23,A,23,IPIP-50,C,Conscientiousness,+,Get chores done right away.
a24,A,24,IPIP-50,S,Emotional stability,-,Am easily disturbed.
a25,A,25,IPIP-50,O,Openness,+,Have excellent ideas.
a26,A,26,IPIP-50,E,Extraversion,-,Have little to say.
a27,A,27,IPIP-50,A,Agreeableness,+,Have a soft heart.
a28,A,28,IPIP-50,C,Conscientiousness,-,Often forget to put things back in their proper place.
a29,A,29,IPIP-50,S,Emotional stability,-,Get upset easily.
a30,A,30,IPIP-50,O,Openness,-,Do not have a good imagination.
a31,A,31,IPIP-50,E,Extraversion,+,Talk to a lot of different people at parties.
